time,learning_rate,step,loss,accuracy
5127.027275085449,0.001,703,0.1976103,0.7
5134.157171964645,0.001,704,0.12934618,0.69
5141.304850578308,0.001,705,0.11195902,0.74
5148.452127456665,0.001,706,0.14797638,0.69
5155.549937963486,0.001,707,0.12470839,0.69
5162.645513534546,0.001,708,0.124873534,0.72
5169.721038579941,0.001,709,0.18706009,0.6
5176.738883495331,0.001,710,0.42310312,0.7
5183.924621343613,0.001,711,0.40750545,0.63
5191.152117490768,0.001,712,0.28832346,0.64
5198.255800962448,0.001,713,0.2275593,0.7
5205.414134502411,0.001,714,0.18619338,0.69
5212.435117721558,0.001,715,0.15535757,0.71
5219.555771112442,0.001,716,0.22916864,0.68
5226.616729736328,0.001,717,0.12927072,0.65
5233.74294757843,0.001,718,0.17900404,0.66
5240.859842538834,0.001,719,0.4862841,0.63
5247.828021526337,0.001,720,0.43914872,0.67
5254.817766427994,0.001,721,0.37291926,0.64
5261.976084470749,0.001,722,0.39467266,0.6
5269.268092393875,0.001,723,0.7131808,0.55
5276.435786008835,0.001,724,0.85623956,0.58
5283.460534095764,0.001,725,0.8451558,0.61
5290.579865932465,0.001,726,0.77828026,0.46
5297.803700685501,0.001,727,1.244507,0.69
5304.955132484436,0.001,728,0.54100764,0.66
5312.641162395477,0.001,729,0.385437,0.76
5319.824558496475,0.001,730,0.12063743,0.75
5326.993064403534,0.001,731,0.09848861,0.75
5334.087210416794,0.001,732,0.08260105,0.74
5341.170745372772,0.001,733,0.06670763,0.74
5348.2546236515045,0.001,734,0.061223984,0.75
5355.521669387817,0.001,735,0.03403523,0.73
5362.675854921341,0.001,736,0.042958893,0.73
5369.825309276581,0.001,737,0.04338777,0.75
5376.797481060028,0.001,738,0.049571034,0.74
5383.928918600082,0.001,739,0.053880915,0.75
5391.391356229782,0.001,740,0.05862586,0.7
5398.448792934418,0.001,741,0.15108538,0.7
5405.629097938538,0.001,742,0.15663275,0.64
5412.732480764389,0.001,743,0.1784395,0.72
5419.9385759830475,0.001,744,0.087038,0.66
5427.120449066162,0.001,745,0.14661722,0.71
5434.199755907059,0.001,746,0.15300415,0.66
5441.155275821686,0.001,747,0.20541002,0.73
5448.27125620842,0.001,748,0.17759486,0.66
5455.4013040065765,0.001,749,0.112911835,0.65
5462.337299346924,0.001,750,0.20010851,0.69
5469.3848485946655,0.001,751,0.11997912,0.62
5476.555279254913,0.001,752,0.20159008,0.7
5483.734238624573,0.001,753,0.21064837,0.57
5490.838417768478,0.001,754,0.38805133,0.66
5497.968731164932,0.001,755,0.40807003,0.6
5505.065849304199,0.001,756,0.48464328,0.7
5512.7108500003815,0.001,757,0.350987,0.6
5519.782457351685,0.001,758,0.330351,0.69
5526.954397439957,0.001,759,0.17404312,0.7
5534.074303627014,0.001,760,0.106524006,0.71
5541.13761138916,0.001,761,0.05676201,0.73
5548.305703401566,0.001,762,0.07508395,0.72
5555.469832420349,0.001,763,0.05864813,0.72
5562.637622356415,0.001,764,0.090189666,0.72
5569.74825668335,0.001,765,0.036968783,0.72
5576.899657964706,0.001,766,0.037693754,0.73
5584.045686006546,0.001,767,0.04756426,0.73
5591.064026594162,0.001,768,0.059519388,0.69
5598.127676725388,0.001,769,0.07060367,0.71
5605.240169763565,0.001,770,0.093520895,0.66
5612.318059921265,0.001,771,0.13455729,0.59
5619.444718360901,0.001,772,0.44476953,0.61
5626.678249359131,0.001,773,0.521007,0.56
5633.719013214111,0.001,774,0.83240604,0.52
5640.87735748291,0.001,775,1.1699517,0.55
5648.001615285873,0.001,776,0.9376764,0.63
5655.127685785294,0.001,777,0.59413916,0.58
5662.200684070587,0.001,778,0.47161242,0.68
5669.244908571243,0.001,779,0.29045972,0.67
5676.291542053223,0.001,780,0.18173654,0.71
5683.446367025375,0.001,781,0.07509858,0.71
5690.6010410785675,0.001,782,0.04129151,0.71
5697.6889770030975,0.001,783,0.052746687,0.71
5704.7374794483185,0.001,784,0.042383075,0.71
5712.386262655258,0.001,785,0.055503897,0.72
5719.537905693054,0.001,786,0.060268283,0.73
5726.664162874222,0.001,787,0.06885458,0.74
5733.750605344772,0.001,788,0.061760258,0.71
5740.885600328445,0.001,789,0.056364045,0.72
5747.985563993454,0.001,790,0.03791833,0.7
5755.130344152451,0.001,791,0.049235214,0.69
5762.314123630524,0.001,792,0.041351486,0.72
5769.45622420311,0.001,793,0.04923416,0.71
5776.519827604294,0.001,794,0.06499567,0.71
5783.576384067535,0.001,795,0.019052856,0.71
5790.778694868088,0.001,796,0.049168725,0.72
5797.998264074326,0.001,797,0.030265572,0.66
5805.020571470261,0.001,798,0.07271604,0.74
5812.122546195984,0.001,799,0.09514445,0.66
5819.184228420258,0.001,800,0.21129379,0.68
5826.31742811203,0.001,801,0.672512,0.48
5833.318327903748,0.001,802,0.8218173,0.57
5840.490719079971,0.001,803,1.0108831,0.43
5847.6966733932495,0.001,804,1.2651502,0.42
5854.782376050949,0.001,805,1.7597077,0.53
5862.064162731171,0.001,806,1.1412272,0.5
5869.056725740433,0.001,807,0.8202062,0.63
5876.1055743694305,0.001,808,0.41346377,0.65
5883.2044632434845,0.001,809,0.12453375,0.69
5890.284389734268,0.001,810,0.077402756,0.69
5897.419767379761,0.001,811,0.0758413,0.7
5904.542886972427,0.001,812,0.083094366,0.71
5912.106568813324,0.001,813,0.04746464,0.71
5919.267196655273,0.001,814,0.06016988,0.69
5926.227933645248,0.001,815,0.041352767,0.72
5933.363837957382,0.001,816,0.06405987,0.7
5940.36535525322,0.001,817,0.05171846,0.7
5947.445470571518,0.001,818,0.043276135,0.7
5954.5774269104,0.001,819,0.031151032,0.7
5961.559325933456,0.001,820,0.047309414,0.7
5968.606343269348,0.001,821,0.030645277,0.67
5975.814795732498,0.001,822,0.055269778,0.7
5982.885061502457,0.001,823,0.032324124,0.62
5989.950385093689,0.001,824,0.11360196,0.62
5997.326625585556,0.001,825,0.18977705,0.69
6004.474855661392,0.001,826,0.13391763,0.71
6011.6280772686005,0.001,827,0.038868967,0.69
6018.815141439438,0.001,828,0.050834898,0.69
6025.978084564209,0.001,829,0.044144664,0.67
6032.994728565216,0.001,830,0.08565061,0.63
6040.197668552399,0.001,831,0.09620364,0.55
6047.324360847473,0.001,832,0.34988734,0.57
6054.286651611328,0.001,833,0.8026899,0.49
